ticket_id,phone_number,sbj,intents
951.0,2547911111,No Ideal I Was Breastfeeding,"['qsurvey_positive', 'ok_thanks']"
953.0,2547222244,This is a ticket subject,"['labour_delivery', 'nausea_vomiting']"
955.0,2572222224,"Was artless, been nor come bower the it","[None, 'pain', 'labour_delivery', 'fetal_movement', 'discharge', 'nutrition', 'baby_condition', 'fatigue_sleep', 'survey_response', 'qsurvey_positive', 'bleeding', 'ok_thanks']"
957.0,2547900000,And had in was fabled seraphs nor it beyond,"['edd', 'breastfeeding']"
958.0,2547911111,No Ideal I Was Breastfeeding,"[None, 'ok_thanks']"
959.0,2547222244,This is a ticket subject,"['qsurvey_positive', 'intercourse']"
960.0,2572222224,"Was artless, been nor come bower the it","['qsurvey_positive', 'discharge']"
961.0,2572222224,"Was artless, been nor come bower the it","['ok_thanks', 'breastfeeding']"
962.0,2547222244,This is a ticket subject,"['ok_thanks', 'pain']"
963.0,2572222224,"Was artless, been nor come bower the it",['ok_thanks']
964.0,2547900000,And had in was fabled seraphs nor it beyond,['survey_response']
965.0,,No Ideal I Was Breastfeeding,"[None, 'labour_delivery', 'pregnancy_general', 'pregnancy_anc_visits']"
969.0,2547222244,This is a ticket subject,['labour_delivery']
970.0,2572222224,"Was artless, been nor come bower the it",['edd']
971.0,2547900000,And had in was fabled seraphs nor it beyond,"['pain', 'labour_delivery', 'nutrition', 'baby_condition', 'qsurvey_positive', 'ok_thanks', 'cs']"
972.0,2547911111,No Ideal I Was Breastfeeding,"[None, 'ok_thanks']"
973.0,2547222244,This is a ticket subject,"['ok_thanks', 'survey_response']"
974.0,2572222224,"Was artless, been nor come bower the it",['qsurvey_positive']
975.0,2572222224,"Was artless, been nor come bower the it",['qsurvey_positive']
976.0,2547222244,This is a ticket subject,"['qsurvey_positive', 'survey_response', 'pregnancy_condition', 'ok_thanks']"
984.0,2572222224,"Was artless, been nor come bower the it","['ok_thanks', 'survey_response']"
996.0,2547900000,And had in was fabled seraphs nor it beyond,['qsurvey_positive']
997.0,2547911111,No Ideal I Was Breastfeeding,['ok_thanks']
1022.0,2547222244,This is a ticket subject,"[None, 'survey_response']"
1023.0,2572222224,"Was artless, been nor come bower the it","['ok_thanks', 'breastfeeding', 'survey_response', 'nutrition']"
1024.0,2547900000,And had in was fabled seraphs nor it beyond,"['intercourse', 'pregnancy_condition', 'medication_general', 'survey_response', 'ok_thanks']"
1029.0,2547911111,No Ideal I Was Breastfeeding,"[None, 'pain', 'labour_delivery', 'fetal_movement', 'baby_condition', 'insurance', 'qsurvey_positive', 'ok_thanks', 'pregnancy_anc_visits']"
1030.0,2547222244,This is a ticket subject,"['ok_thanks', 'stool']"
1034.0,2572222224,"Was artless, been nor come bower the it",['survey_response']
1035.0,2547900000,And had in was fabled seraphs nor it beyond,['qsurvey_positive']
1036.0,2547911111,No Ideal I Was Breastfeeding,[None]
1037.0,2547222244,This is a ticket subject,['fetal_movement']
1038.0,2572222224,"Was artless, been nor come bower the it","['danger_signs', 'baby_condition', 'survey_response', 'qsurvey_positive', 'ok_thanks']"
1041.0,2547900000,And had in was fabled seraphs nor it beyond,"['qsurvey_positive', 'pain', 'fetal_movement', None]"
1042.0,2547911111,No Ideal I Was Breastfeeding,['survey_response']
1043.0,2547222244,This is a ticket subject,['baby_condition']
1045.0,2572222224,"Was artless, been nor come bower the it","['pain', 'baby_condition']"
1052.0,2547900000,And had in was fabled seraphs nor it beyond,"['qsurvey_positive', 'nausea_vomiting']"
1072.0,2547911111,No Ideal I Was Breastfeeding,['pregnancy_condition']
1080.0,2547222244,This is a ticket subject,"['danger_signs', 'fetal_movement', 'survey_response']"
1081.0,2572222224,"Was artless, been nor come bower the it","[None, 'intercourse']"
1082.0,2547900000,And had in was fabled seraphs nor it beyond,"['labour_delivery', 'nutrition', 'survey_response', 'qsurvey_positive', 'ok_thanks']"
1090.0,2547911111,No Ideal I Was Breastfeeding,"['discharge', 'fetal_movement', 'qsurvey_positive', 'cs', 'ok_thanks']"
1091.0,2547222244,This is a ticket subject,"[None, 'intercourse', 'nutrition', 'qsurvey_positive', 'ok_thanks', 'qsurvey_negative']"
1092.0,2572222224,"Was artless, been nor come bower the it","['survey_response', 'qsurvey_negative', 'baby_general']"
1096.0,2572222224,"Was artless, been nor come bower the it","[None, 'pregnancy_general', 'survey_response', 'pregnancy_anc_visits']"
1097.0,2547222244,This is a ticket subject,"['discharge', 'survey_response']"
1098.0,2572222224,"Was artless, been nor come bower the it","['qsurvey_positive', 'baby_condition', 'qsurvey_negative', 'headache']"
1099.0,2547900000,And had in was fabled seraphs nor it beyond,['ok_thanks']
1106.0,2547911111,No Ideal I Was Breastfeeding,"['qsurvey_positive', 'pain', 'survey_response']"
1118.0,2547222244,This is a ticket subject,['danger_signs']
1126.0,2572222224,"Was artless, been nor come bower the it","[None, 'insurance']"
1127.0,2547900000,And had in was fabled seraphs nor it beyond,"['qsurvey_positive', 'baby_general']"
1128.0,2547911111,No Ideal I Was Breastfeeding,"['fetal_movement', 'pregnancy_anc_visits']"
1129.0,2547222244,This is a ticket subject,"['qsurvey_positive', 'edd', 'fetal_movement']"
1130.0,2572222224,"Was artless, been nor come bower the it","[None, 'pain', 'labour_delivery', 'baby_condition', 'survey_response', 'qsurvey_positive']"
1131.0,2572222224,"Was artless, been nor come bower the it",['discharge']
1132.0,2547222244,This is a ticket subject,"['discharge', 'baby_condition']"
1145.0,,"Was artless, been nor come bower the it","['ok_thanks', 'survey_response', 'qsurvey_positive']"
1184.0,2547900000,And had in was fabled seraphs nor it beyond,"['edd', 'fetal_movement', 'discharge']"
1186.0,2547911111,No Ideal I Was Breastfeeding,"['baby_general', 'survey_response']"
1187.0,2547222244,This is a ticket subject,"[None, 'survey_response']"
1188.0,,"Was artless, been nor come bower the it","['nutrition', 'headache']"
1524.0,,And had in was fabled seraphs nor it beyond,"['qsurvey_positive', 'survey_response', 'ok_thanks', 'nutrition']"
1525.0,2547911111,No Ideal I Was Breastfeeding,"['qsurvey_positive', 'baby_condition', 'breastfeeding']"
